"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2013-12-29,2014-04-19,NA,2344,NA,"alarm=1;deathalarm=0;deathsevere=1;probable=2341;severe=1","EpiBulletin",""
"Dengue","Brazil","Acre","state",2013-12-29,2014-04-19,NA,2711,NA,"alarm=1;deathalarm=0;deathsevere=0;probable=2710;severe=0","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2013-12-29,2014-04-19,NA,5657,NA,"alarm=7;deathalarm=1;deathsevere=1;probable=5646;severe=2","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2013-12-29,2014-04-19,NA,424,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=424;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2013-12-29,2014-04-19,NA,3645,NA,"alarm=1;deathalarm=0;deathsevere=0;probable=3644;severe=0","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2013-12-29,2014-04-19,NA,197,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=197;severe=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2013-12-29,2014-04-19,NA,5356,NA,"alarm=11;deathalarm=0;deathsevere=0;probable=5345;severe=0","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2013-12-29,2014-04-19,NA,1055,NA,"alarm=13;deathalarm=0;deathsevere=2;probable=1038;severe=2","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2013-12-29,2014-04-19,NA,1503,NA,"alarm=4;deathalarm=0;deathsevere=0;probable=1495;severe=4","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2013-12-29,2014-04-19,NA,8831,NA,"alarm=25;deathalarm=0;deathsevere=3;probable=8800;severe=3","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2013-12-29,2014-04-19,NA,3425,NA,"alarm=12;deathalarm=0;deathsevere=0;probable=3413;severe=0","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2013-12-29,2014-04-19,NA,2180,NA,"alarm=4;deathalarm=0;deathsevere=2;probable=2172;severe=2","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2013-12-29,2014-04-19,NA,2475,NA,"alarm=0;deathalarm=0;deathsevere=1;probable=2473;severe=1","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2013-12-29,2014-04-19,NA,2517,NA,"alarm=8;deathalarm=0;deathsevere=0;probable=2507;severe=2","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2013-12-29,2014-04-19,NA,645,NA,"alarm=3;deathalarm=0;deathsevere=0;probable=642;severe=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2013-12-29,2014-04-19,NA,6972,NA,"alarm=29;deathalarm=0;deathsevere=3;probable=6932;severe=8","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2013-12-29,2014-04-19,NA,45793,NA,"alarm=174;deathalarm=0;deathsevere=12;probable=45594;severe=13","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2013-12-29,2014-04-19,NA,10707,NA,"alarm=108;deathalarm=0;deathsevere=2;probable=10592;severe=5","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2013-12-29,2014-04-19,NA,6231,NA,"alarm=17;deathalarm=2;deathsevere=5;probable=6202;severe=5","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2013-12-29,2014-04-19,NA,118032,NA,"alarm=975;deathalarm=0;deathsevere=11;probable=116999;severe=47","EpiBulletin",""
"Dengue","Brazil","Parana","state",2013-12-29,2014-04-19,NA,25933,NA,"alarm=67;deathalarm=0;deathsevere=2;probable=25858;severe=6","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2013-12-29,2014-04-19,NA,242,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=242;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2013-12-29,2014-04-19,NA,454,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=454;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2013-12-29,2014-04-19,NA,4312,NA,"alarm=13;deathalarm=0;deathsevere=3;probable=4293;severe=3","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2013-12-29,2014-04-19,NA,5445,NA,"alarm=8;deathalarm=0;deathsevere=4;probable=5429;severe=4","EpiBulletin",""
"Dengue","Brazil","Goias","state",2013-12-29,2014-04-19,NA,50857,NA,"alarm=294;deathalarm=0;deathsevere=10;probable=50525;severe=28","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2013-12-29,2014-04-19,NA,6288,NA,"alarm=12;deathalarm=0;deathsevere=4;probable=6263;severe=9","EpiBulletin",""
