"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2015-01-04,2015-10-31,NA,1583,NA,"alarm=10;death=3;probable=1565;severe=5","EpiBulletin",""
"Dengue","Brazil","Acre","state",2015-01-04,2015-10-31,NA,5361,NA,"alarm=2;death=0;probable=5359;severe=0","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2015-01-04,2015-10-31,NA,3916,NA,"alarm=6;death=2;probable=3906;severe=2","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2015-01-04,2015-10-31,NA,1098,NA,"alarm=8;death=0;probable=1090;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2015-01-04,2015-10-31,NA,7515,NA,"alarm=32;death=5;probable=7467;severe=11","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2015-01-04,2015-10-31,NA,3018,NA,"alarm=29;death=2;probable=2971;severe=16","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2015-01-04,2015-10-31,NA,7139,NA,"alarm=17;death=4;probable=7109;severe=9","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2015-01-04,2015-10-31,NA,7106,NA,"alarm=40;death=8;probable=7035;severe=23","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2015-01-04,2015-10-31,NA,7536,NA,"alarm=41;death=2;probable=7474;severe=19","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2015-01-04,2015-10-31,NA,64540,NA,"alarm=647;death=60;probable=63719;severe=114","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2015-01-04,2015-10-31,NA,21839,NA,"alarm=44;death=2;probable=21790;severe=3","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2015-01-04,2015-10-31,NA,19954,NA,"alarm=75;death=3;probable=19868;severe=8","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2015-01-04,2015-10-31,NA,81281,NA,"alarm=70;death=13;probable=81180;severe=18","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2015-01-04,2015-10-31,NA,18782,NA,"alarm=79;death=3;probable=18689;severe=11","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2015-01-04,2015-10-31,NA,5549,NA,"alarm=2;death=2;probable=5540;severe=5","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2015-01-04,2015-10-31,NA,48615,NA,"alarm=32;death=11;probable=48546;severe=26","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2015-01-04,2015-10-31,NA,178463,NA,"alarm=938;death=59;probable=177345;severe=121","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2015-01-04,2015-10-31,NA,25106,NA,"alarm=419;death=10;probable=24639;severe=38","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2015-01-04,2015-10-31,NA,58221,NA,"alarm=256;death=20;probable=57904;severe=41","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2015-01-04,2015-10-31,NA,719301,NA,"alarm=12802;death=445;probable=705441;severe=613","EpiBulletin",""
"Dengue","Brazil","Parana","state",2015-01-04,2015-10-31,NA,45740,NA,"alarm=347;death=25;probable=45274;severe=94","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2015-01-04,2015-10-31,NA,4536,NA,"alarm=109;death=0;probable=4426;severe=1","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2015-01-04,2015-10-31,NA,1649,NA,"alarm=9;death=2;probable=1636;severe=2","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2015-01-04,2015-10-31,NA,20975,NA,"alarm=157;death=9;probable=20798;severe=11","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2015-01-04,2015-10-31,NA,16426,NA,"alarm=34;death=5;probable=16375;severe=12","EpiBulletin",""
"Dengue","Brazil","Goias","state",2015-01-04,2015-10-31,NA,149925,NA,"alarm=2322;death=75;probable=147308;severe=220","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2015-01-04,2015-10-31,NA,9222,NA,"alarm=74;death=19;probable=9105;severe=24","EpiBulletin",""
