"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2017-12-31,2018-04-21,NA,457,NA,"alarm=1;death=0;probable=456;severe=0","EpiBulletin",""
"Dengue","Brazil","Acre","state",2017-12-31,2018-04-21,NA,1870,NA,"alarm=2;death=0;probable=1867;severe=1","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2017-12-31,2018-04-21,NA,1259,NA,"alarm=0;death=0;probable=1258;severe=1","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2017-12-31,2018-04-21,NA,65,NA,"alarm=0;death=0;probable=65;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2017-12-31,2018-04-21,NA,3053,NA,"alarm=3;death=0;probable=3050;severe=0","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2017-12-31,2018-04-21,NA,346,NA,"alarm=2;death=0;probable=344;severe=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2017-12-31,2018-04-21,NA,1383,NA,"alarm=21;death=0;probable=1361;severe=1","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2017-12-31,2018-04-21,NA,844,NA,"alarm=8;death=1;probable=833;severe=2","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2017-12-31,2018-04-21,NA,714,NA,"alarm=0;death=1;probable=712;severe=1","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2017-12-31,2018-04-21,NA,3726,NA,"alarm=3;death=7;probable=3709;severe=7","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2017-12-31,2018-04-21,NA,4463,NA,"alarm=49;death=1;probable=4409;severe=4","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2017-12-31,2018-04-21,NA,1871,NA,"alarm=12;death=1;probable=1857;severe=1","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2017-12-31,2018-04-21,NA,4163,NA,"alarm=14;death=1;probable=4147;severe=1","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2017-12-31,2018-04-21,NA,545,NA,"alarm=5;death=0;probable=539;severe=1","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2017-12-31,2018-04-21,NA,51,NA,"alarm=1;death=0;probable=50;severe=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2017-12-31,2018-04-21,NA,2800,NA,"alarm=4;death=1;probable=2794;severe=1","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2017-12-31,2018-04-21,NA,14914,NA,"alarm=29;death=4;probable=14876;severe=5","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2017-12-31,2018-04-21,NA,2441,NA,"alarm=36;death=1;probable=2397;severe=7","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2017-12-31,2018-04-21,NA,6460,NA,"alarm=23;death=0;probable=6433;severe=4","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2017-12-31,2018-04-21,NA,10141,NA,"alarm=13;death=2;probable=10122;severe=4","EpiBulletin",""
"Dengue","Brazil","Parana","state",2017-12-31,2018-04-21,NA,2265,NA,"alarm=7;death=1;probable=2256;severe=1","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2017-12-31,2018-04-21,NA,153,NA,"alarm=0;death=0;probable=153;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2017-12-31,2018-04-21,NA,94,NA,"alarm=1;death=0;probable=93;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2017-12-31,2018-04-21,NA,1165,NA,"alarm=4;death=0;probable=1161;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2017-12-31,2018-04-21,NA,4525,NA,"alarm=2;death=2;probable=4519;severe=2","EpiBulletin",""
"Dengue","Brazil","Goias","state",2017-12-31,2018-04-21,NA,32207,NA,"alarm=676;death=16;probable=31478;severe=37","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2017-12-31,2018-04-21,NA,927,NA,"alarm=1;death=1;probable=924;severe=1","EpiBulletin",""
