"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Rondonia","state",2013-12-29,2014-04-05,NA,1981,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=1981;severe=0","EpiBulletin",""
"Dengue","Brazil","Acre","state",2013-12-29,2014-04-05,NA,2088,NA,"alarm=1;deathalarm=0;deathsevere=0;probable=2087;severe=0","EpiBulletin",""
"Dengue","Brazil","Amazonas","state",2013-12-29,2014-04-05,NA,4518,NA,"alarm=5;deathalarm=0;deathsevere=1;probable=4510;severe=2","EpiBulletin",""
"Dengue","Brazil","Roraima","state",2013-12-29,2014-04-05,NA,339,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=339;severe=0","EpiBulletin",""
"Dengue","Brazil","Para","state",2013-12-29,2014-04-05,NA,1908,NA,"alarm=1;deathalarm=0;deathsevere=0;probable=1907;severe=0","EpiBulletin",""
"Dengue","Brazil","Amapa","state",2013-12-29,2014-04-05,NA,122,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=122;severe=0","EpiBulletin",""
"Dengue","Brazil","Tocantins","state",2013-12-29,2014-04-05,NA,4629,NA,"alarm=6;deathalarm=0;deathsevere=0;probable=4623;severe=0","EpiBulletin",""
"Dengue","Brazil","Maranhao","state",2013-12-29,2014-04-05,NA,742,NA,"alarm=11;deathalarm=0;deathsevere=2;probable=729;severe=0","EpiBulletin",""
"Dengue","Brazil","Piaui","state",2013-12-29,2014-04-05,NA,928,NA,"alarm=2;deathalarm=0;deathsevere=0;probable=924;severe=2","EpiBulletin",""
"Dengue","Brazil","Ceara","state",2013-12-29,2014-04-05,NA,6490,NA,"alarm=13;deathalarm=0;deathsevere=1;probable=6475;severe=1","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Norte","state",2013-12-29,2014-04-05,NA,2315,NA,"alarm=7;deathalarm=0;deathsevere=0;probable=2308;severe=0","EpiBulletin",""
"Dengue","Brazil","Paraiba","state",2013-12-29,2014-04-05,NA,1206,NA,"alarm=3;deathalarm=0;deathsevere=2;probable=1199;severe=2","EpiBulletin",""
"Dengue","Brazil","Pernambuco","state",2013-12-29,2014-04-05,NA,1399,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=1399;severe=0","EpiBulletin",""
"Dengue","Brazil","Alagoas","state",2013-12-29,2014-04-05,NA,1736,NA,"alarm=3;deathalarm=0;deathsevere=0;probable=1733;severe=0","EpiBulletin",""
"Dengue","Brazil","Sergipe","state",2013-12-29,2014-04-05,NA,475,NA,"alarm=2;deathalarm=0;deathsevere=0;probable=473;severe=0","EpiBulletin",""
"Dengue","Brazil","Bahia","state",2013-12-29,2014-04-05,NA,4473,NA,"alarm=19;deathalarm=0;deathsevere=2;probable=4449;severe=3","EpiBulletin",""
"Dengue","Brazil","Minas_Gerais","state",2013-12-29,2014-04-05,NA,32255,NA,"alarm=102;deathalarm=0;deathsevere=7;probable=32137;severe=9","EpiBulletin",""
"Dengue","Brazil","Espirito_Santo","state",2013-12-29,2014-04-05,NA,9241,NA,"alarm=85;deathalarm=0;deathsevere=2;probable=9152;severe=2","EpiBulletin",""
"Dengue","Brazil","Rio_de_Janeiro","state",2013-12-29,2014-04-05,NA,5189,NA,"alarm=15;deathalarm=1;deathsevere=2;probable=5167;severe=4","EpiBulletin",""
"Dengue","Brazil","Sao_Paulo","state",2013-12-29,2014-04-05,NA,63688,NA,"alarm=267;deathalarm=0;deathsevere=8;probable=63387;severe=26","EpiBulletin",""
"Dengue","Brazil","Parana","state",2013-12-29,2014-04-05,NA,18704,NA,"alarm=34;deathalarm=0;deathsevere=1;probable=18667;severe=2","EpiBulletin",""
"Dengue","Brazil","Santa_Catarina","state",2013-12-29,2014-04-05,NA,191,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=191;severe=0","EpiBulletin",""
"Dengue","Brazil","Rio_Grande_do_Sul","state",2013-12-29,2014-04-05,NA,410,NA,"alarm=0;deathalarm=0;deathsevere=0;probable=410;severe=0","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso_do_Sul","state",2013-12-29,2014-04-05,NA,3517,NA,"alarm=12;deathalarm=0;deathsevere=2;probable=3500;severe=3","EpiBulletin",""
"Dengue","Brazil","Mato_Grosso","state",2013-12-29,2014-04-05,NA,4266,NA,"alarm=2;deathalarm=0;deathsevere=2;probable=4260;severe=2","EpiBulletin",""
"Dengue","Brazil","Goias","state",2013-12-29,2014-04-05,NA,38790,NA,"alarm=249;deathalarm=0;deathsevere=11;probable=38508;severe=22","EpiBulletin",""
"Dengue","Brazil","Distrito_Federal","state",2013-12-29,2014-04-05,NA,4553,NA,"alarm=9;deathalarm=0;deathsevere=3;probable=4532;severe=9","EpiBulletin",""
